x	y	V_num	V_ana	error_abs	error_rel
1.02	1.02	0.04121	0.04121	9.75e-08	2.366e-06
1.04	1.02	0.06261	0.06261	1.694e-07	2.705e-06
1.06	1.02	0.08441	0.08441	2.261e-07	2.679e-06
1.08	1.02	0.1066	0.1066	2.728e-07	2.56e-06
1.1	1.02	0.1292	0.1292	3.121e-07	2.417e-06
1.12	1.02	0.1521	0.1521	3.457e-07	2.273e-06
1.14	1.02	0.1754	0.1754	3.748e-07	2.137e-06
1.16	1.02	0.199	0.199	4e-07	2.01e-06
1.18	1.02	0.223	0.223	4.22e-07	1.892e-06
1.2	1.02	0.2474	0.2474	4.413e-07	1.784e-06
1.22	1.02	0.2721	0.2721	4.582e-07	1.684e-06
1.24	1.02	0.2971	0.2971	4.73e-07	1.592e-06
1.26	1.02	0.3225	0.3225	4.86e-07	1.507e-06
1.28	1.02	0.3482	0.3482	4.973e-07	1.428e-06
1.3	1.02	0.3742	0.3742	5.072e-07	1.356e-06
1.32	1.02	0.4005	0.4005	5.157e-07	1.288e-06
1.34	1.02	0.4271	0.4271	5.229e-07	1.224e-06
1.36	1.02	0.454	0.454	5.29e-07	1.165e-06
1.38	1.02	0.4812	0.4812	5.34e-07	1.11e-06
1.4	1.02	0.5088	0.5088	5.381e-07	1.058e-06
1.42	1.02	0.5366	0.5366	5.412e-07	1.009e-06
1.44	1.02	0.5647	0.5647	5.434e-07	9.623e-07
1.46	1.02	0.5931	0.5931	5.447e-07	9.185e-07
1.48	1.02	0.6217	0.6217	5.452e-07	8.769e-07
1.5	1.02	0.6507	0.6507	5.449e-07	8.374e-07
1.52	1.02	0.6799	0.6799	5.437e-07	7.998e-07
1.54	1.02	0.7094	0.7093	5.418e-07	7.638e-07
1.56	1.02	0.7391	0.7391	5.39e-07	7.293e-07
1.58	1.02	0.7691	0.7691	5.354e-07	6.961e-07
1.6	1.02	0.7994	0.7994	5.309e-07	6.642e-07
1.62	1.02	0.8299	0.8299	5.256e-07	6.333e-07
1.64	1.02	0.8607	0.8607	5.193e-07	6.033e-07
1.66	1.02	0.8917	0.8917	5.12e-07	5.742e-07
1.68	1.02	0.9229	0.9229	5.036e-07	5.457e-07
1.7	1.02	0.9544	0.9544	4.941e-07	5.177e-07
1.72	1.02	0.9862	0.9862	4.834e-07	4.902e-07
1.74	1.02	1.018	1.018	4.713e-07	4.629e-07
1.76	1.02	1.05	1.05	4.577e-07	4.358e-07
1.78	1.02	1.083	1.083	4.425e-07	4.086e-07
1.8	1.02	1.116	1.116	4.254e-07	3.813e-07
1.82	1.02	1.148	1.148	4.061e-07	3.536e-07
1.84	1.02	1.182	1.182	3.844e-07	3.253e-07
1.86	1.02	1.215	1.215	3.598e-07	2.961e-07
1.88	1.02	1.249	1.249	3.317e-07	2.657e-07
1.9	1.02	1.282	1.282	2.995e-07	2.335e-07
1.92	1.02	1.316	1.316	2.619e-07	1.99e-07
1.94	1.02	1.351	1.351	2.175e-07	1.61e-07
1.96	1.02	1.385	1.385	1.634e-07	1.18e-07
1.98	1.02	1.42	1.42	9.453e-08	6.659e-08
1.02	1.04	0.06261	0.06261	1.694e-07	2.705e-06
1.04	1.04	0.08484	0.08484	3.035e-07	3.577e-06
1.06	1.04	0.1075	0.1075	4.129e-07	3.842e-06
1.08	1.04	0.1305	0.1305	5.043e-07	3.865e-06
1.1	1.04	0.1539	0.1539	5.819e-07	3.781e-06
1.12	1.04	0.1777	0.1777	6.486e-07	3.65e-06
1.14	1.04	0.2018	0.2018	7.063e-07	3.499e-06
1.16	1.04	0.2264	0.2264	7.566e-07	3.342e-06
1.18	1.04	0.2513	0.2513	8.005e-07	3.186e-06
1.2	1.04	0.2765	0.2765	8.391e-07	3.035e-06
1.22	1.04	0.3021	0.3021	8.729e-07	2.89e-06
1.24	1.04	0.328	0.328	9.025e-07	2.752e-06
1.26	1.04	0.3542	0.3542	9.284e-07	2.621e-06
1.28	1.04	0.3808	0.3808	9.51e-07	2.497e-06
1.3	1.04	0.4077	0.4077	9.706e-07	2.381e-06
1.32	1.04	0.435	0.435	9.875e-07	2.27e-06
1.34	1.04	0.4625	0.4625	1.002e-06	2.166e-06
1.36	1.04	0.4904	0.4904	1.014e-06	2.068e-06
1.38	1.04	0.5185	0.5185	1.024e-06	1.975e-06
1.4	1.04	0.547	0.547	1.032e-06	1.887e-06
1.42	1.04	0.5758	0.5758	1.038e-06	1.803e-06
1.44	1.04	0.6048	0.6048	1.042e-06	1.723e-06
1.46	1.04	0.6342	0.6342	1.045e-06	1.648e-06
1.48	1.04	0.6638	0.6638	1.046e-06	1.575e-06
1.5	1.04	0.6937	0.6937	1.045e-06	1.506e-06
1.52	1.04	0.7239	0.7239	1.042e-06	1.44e-06
1.54	1.04	0.7544	0.7544	1.038e-06	1.376e-06
1.56	1.04	0.7851	0.7851	1.032e-06	1.315e-06
1.58	1.04	0.8161	0.8161	1.025e-06	1.256e-06
1.6	1.04	0.8474	0.8473	1.016e-06	1.199e-06
1.62	1.04	0.8789	0.8789	1.005e-06	1.143e-06
1.64	1.04	0.9106	0.9106	9.921e-07	1.089e-06
1.66	1.04	0.9427	0.9427	9.773e-07	1.037e-06
