x	y	V_num	V_ana	error_abs	error_rel
0.4	0.4	1.184	1.174	0.01029	0.008769
0.8	0.4	1.398	1.377	0.02052	0.0149
1.2	0.4	1.645	1.616	0.0294	0.01819
1.6	0.4	1.926	1.896	0.02978	0.0157
0.4	0.8	1.398	1.377	0.02052	0.0149
0.8	0.8	1.938	1.896	0.04109	0.02167
1.2	0.8	2.672	2.612	0.06001	0.02298
1.6	0.8	3.659	3.597	0.06272	0.01744
0.4	1.2	1.645	1.616	0.0294	0.01819
0.8	1.2	2.672	2.612	0.06001	0.02298
1.2	1.2	4.314	4.221	0.09289	0.02201
1.6	1.2	6.928	6.821	0.107	0.01568
0.4	1.6	1.926	1.896	0.02978	0.0157
0.8	1.6	3.659	3.597	0.06272	0.01744
1.2	1.6	6.928	6.821	0.107	0.01568
1.6	1.6	13.08	12.94	0.1452	0.01122
